package,file,width,height,orange_ratio,bright_orange_ratio,orange_bbox_width,orange_bbox_height,orange_bbox_aspect,avg_orange_r,avg_orange_g,avg_orange_b,left_orange_samples,right_orange_samples,component_score,component_width,component_height,component_aspect,component_area,component_left_height,component_mid_height,component_diamond_ratio,component_left_area_ratio,component_right_area_ratio,component_min_x,component_min_y,component_max_x,component_max_y,score,long_orange_bar,diamond_long_bar,targetstatus_family,source
EFUI_ASSAULTRAIDENTRANCEFRAME,assaultraidentranceframe_i5.png,1024,1024,0.005936,0.001312,820.0,944.0,0.8686,123.86,92.14,49.35,248,141,28.0,96.0,60.0,1.6,118,36.0,60.0,0.6,0.161,0.0932,652.0,848.0,744.0,904.0,65.1815,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ASSAULTRAIDENTRANCEFRAME\Texture2D\assaultraidentranceframe_i5.png
EFUI_ICONATLAS_C,common_rozalrinstage_raid_img_0.png,828,904,0.011134,0.003906,593.25,639.16,0.9282,143.4,120.04,83.08,392,275,28.0,45.91,24.72,1.8571,33,10.59,17.66,0.6,0.1818,0.1515,317.81,81.22,360.19,102.41,65.1754,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_C\Texture2D\common_rozalrinstage_raid_img_0.png
EFUI_ICONATLAS_M,monster_icon_boss_0.png,868,540,0.008378,0.001621,857.83,308.55,2.7802,133.57,115.31,77.6,122,219,28.0,16.95,20.34,0.8333,14,16.95,16.95,1.0,0.2857,0.2143,57.64,152.58,71.2,169.53,64.7404,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_M\Texture2D\monster_icon_boss_0.png
EFUI_INDICATOR,indicator_i12_nopack.png,184,68,0.027014,0.011349,158.0,36.0,4.3889,148.96,71.57,46.91,283,55,14.0,15.0,7.0,2.1429,67,4.0,7.0,0.5714,0.2687,0.0746,29.0,13.0,43.0,19.0,63.7507,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_INDICATOR\Texture2D\indicator_i12_nopack.png
EFUI_COLOSSEUMENTRANCES3,colosseumentrances3_i4_nopack.png,60,60,0.01,0.002222,36.0,60.0,0.6,140.67,127.44,98.78,10,26,42.0,24.0,1.0,24.0,24,1.0,1.0,1.0,0.2917,0.125,20.0,59.0,43.0,59.0,63.7365,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_COLOSSEUMENTRANCES3\Texture2D\colosseumentrances3_i4_nopack.png
EFUI_REVERSERUINCHAOSRIFT,reverseruinentrancechaosrift_loc_int_i154_nopack.png,232,628,0.009375,0.003084,166.81,152.09,1.0968,133.01,91.47,38.33,22,206,39.4,93.22,24.53,3.8,227,14.72,24.53,0.6,0.1498,0.0881,66.23,152.09,157.0,174.17,63.4294,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_REVERSERUINCHAOSRIFT\Texture2D\reverseruinentrancechaosrift_loc_int_i154_nopack.png
EFUI_REVERSERUINKURZAN,reverseruinentrancekurzan_loc_int_ied_nopack.png,232,628,0.009375,0.003084,166.81,152.09,1.0968,133.01,91.47,38.33,22,206,39.4,93.22,24.53,3.8,227,14.72,24.53,0.6,0.1498,0.0881,66.23,152.09,157.0,174.17,63.4294,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_REVERSERUINKURZAN\Texture2D\reverseruinentrancekurzan_loc_int_ied_nopack.png
EFUI_CONFRONTHUD,confronthud_i89_nopack.png,24,28,0.078869,0.078869,6.0,11.0,0.5455,186.08,108.45,37.43,0,53,14.0,6.0,11.0,0.5455,53,10.0,11.0,0.9091,0.3396,0.1132,9.0,8.0,14.0,18.0,63.0857,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_CONFRONTHUD\Texture2D\confronthud_i89_nopack.png
EFUI_JUMP,jumpentrance_id.png,1024,1024,0.007111,0.004929,296.0,312.0,0.9487,190.12,116.83,38.24,0,466,42.0,104.0,8.0,13.0,39,8.0,8.0,1.0,0.3333,0.0769,700.0,312.0,800.0,316.0,61.1346,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_JUMP\Texture2D\jumpentrance_id.png
EFUI_COLOSSEUM,colosseumentrance_ia.png,1024,1024,0.009766,0.004959,636.0,732.0,0.8689,150.52,127.14,64.12,252,388,28.0,24.0,20.0,1.2,21,12.0,20.0,0.6,0.2381,0.0952,60.0,836.0,80.0,852.0,60.8808,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_COLOSSEUM\Texture2D\colosseumentrance_ia.png
EFUI_TOPHUDINANNABLESS,tophudinannabless_i6.png,1024,256,0.011536,0.004883,536.0,192.0,2.7917,144.89,118.0,63.46,33,156,28.0,96.0,72.0,1.3333,125,48.0,72.0,0.6667,0.144,0.048,536.0,32.0,628.0,100.0,60.6149,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_TOPHUDINANNABLESS\Texture2D\tophudinannabless_i6.png
EFUI_WAYOFTHRONEENTRANCE,wayofthroneentrance_i9.png,1024,1024,0.001709,0.000458,252.0,268.0,0.9403,136.96,113.19,76.78,0,112,49.8462,204.0,4.0,51.0,51,4.0,4.0,1.0,0.2549,0.1176,800.0,204.0,1000.0,204.0,60.1003,False,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_WAYOFTHRONEENTRANCE\Texture2D\wayofthroneentrance_i9.png
EFUI_ICONATLAS_M,monster_abyss_0.png,760,120,0.005469,0.001465,421.56,89.06,4.7333,130.3,88.89,60.18,0,56,28.0,14.84,17.81,0.8333,12,8.91,14.84,0.6,0.3333,0.1667,380.0,71.25,391.88,86.09,50.942,True,False,False,D:\Dwonloads\umodel_lostark_v7\extracted\lostark_ui_by_package_png\EFUI_ICONATLAS_M\Texture2D\monster_abyss_0.png
