package,model,obj,vertices,faces,uvs,normals,materialSlots,sizeX,sizeY,sizeZ,minY,maxY,warnings
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02b_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02b_sm.obj",338,506,338,338,1,1.028,0.474,1.216,-0.237,0.237,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02c_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02c_sm.obj",121,184,121,121,1,0.43,0.428,0.594,-0.214,0.214,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02d_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02d_sm.obj",3250,4270,3250,3250,1,2.088,5.109,3.205,-2.294,2.816,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02e_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02e_sm.obj",1861,2354,1861,1861,1,2.298,1.033,2.943,-0.456,0.576,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02f_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02f_sm.obj",928,1140,928,928,1,1.461,0.521,2.028,-0.284,0.237,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rock02g_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rock02g_sm.obj",309,376,309,309,1,0.497,0.429,0.88,-0.214,0.215,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockdeco01_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockdeco01_sm.obj",609,752,609,609,1,0.635,1.752,0.87,-0.874,0.879,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockdeco01a_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockdeco01a_sm.obj",379,408,379,379,1,0.773,0.701,0.793,-0.35,0.351,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockdeco01b_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockdeco01b_sm.obj",501,606,501,501,1,0.461,1.232,0.628,-0.616,0.616,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockdeco01c_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockdeco01c_sm.obj",418,482,418,418,1,0.667,0.589,0.937,-0.295,0.295,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor01_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor01_sm.obj",2431,3888,2431,2431,2,3.284,3.958,4.769,-3.94,0.018,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor01a_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor01a_sm.obj",9438,12210,9438,9438,3,4.407,5.427,5.304,-5.231,0.196,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor01alowpoly_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor01alowpoly_sm.obj",6496,7224,6496,6496,3,4.407,5.427,5.304,-5.231,0.196,"lowpoly_variant"
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor02_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor02_sm.obj",24,12,24,24,1,5.12,0.64,5.12,-0.64,0,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03_sm.obj",4944,8394,4944,4944,2,11.312,0.59,2.964,-0.3,0.29,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03a_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03a_sm.obj",2027,3194,2027,2027,2,8.697,0.565,2.957,-0.275,0.29,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03b_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03b_sm.obj",1914,2946,1914,1914,2,8.157,0.576,2.953,-0.3,0.276,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03c_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03c_sm.obj",797,1238,797,797,1,3.844,0.565,2.596,-0.275,0.29,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03d_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03d_sm.obj",1224,1956,1224,1224,1,5.541,0.55,2.953,-0.274,0.276,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockfloor03e_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockfloor03e_sm.obj",1242,1996,1242,1242,1,3.21,0.571,2.539,-0.3,0.271,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockpillar01_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockpillar01_sm.obj",2729,4318,2729,2729,2,2.221,7.789,2.263,-3.895,3.895,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockpillar01a_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockpillar01a_sm.obj",2722,4318,2722,2722,2,2.221,7.105,2.949,-3.539,3.566,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockpillar01b_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockpillar01b_sm.obj",16476,22254,16476,16476,4,2.29,13.664,2.761,-6.895,6.769,""
"BG_RAD_KAMEN_STONE_A","bg_rad_kamen_rockpillar01blowpoly_sm","Models/BG_RAD_KAMEN_STONE_A/bg_rad_kamen_rockpillar01blowpoly_sm.obj",3470,3786,3470,3470,4,2.206,12.947,2.556,-6.895,6.052,"lowpoly_variant"
